,tweet_date,count
51,2021-09-24,1
41,2021-09-23,36
28,2021-09-22,126
29,2021-09-21,119
44,2021-09-20,19
21,2021-09-19,215
19,2021-09-18,232
46,2021-09-17,12
20,2021-09-16,222
14,2021-09-15,279
33,2021-09-14,91
50,2021-09-13,1
30,2021-09-12,108
42,2021-09-11,32
25,2021-09-10,169
43,2021-09-09,21
48,2021-09-08,7
11,2021-09-07,283
47,2021-09-06,10
39,2021-09-05,37
37,2021-09-04,55
45,2021-09-03,17
40,2021-09-02,36
36,2021-09-01,78
6,2021-08-31,382
23,2021-08-30,209
38,2021-08-29,47
15,2021-08-28,279
4,2021-08-27,459
8,2021-08-26,340
32,2021-08-25,99
35,2021-08-24,87
2,2021-08-23,514
7,2021-08-22,364
17,2021-08-21,246
16,2021-08-20,267
5,2021-08-19,405
12,2021-08-18,282
13,2021-08-17,281
27,2021-08-16,139
10,2021-08-15,314
9,2021-08-14,337
1,2021-08-13,569
18,2021-08-12,239
31,2021-08-11,104
0,2021-08-10,584
22,2021-08-09,211
26,2021-08-08,152
34,2021-08-07,90
3,2021-08-06,511
24,2021-08-05,205
49,2021-08-04,5
