,tweet_date,processed_tweet_text
157,2021-08-06,reject military coup
158,2021-08-06,suppo nug
186,2021-08-06,suppo nug
200,2021-08-06,suppo nug
201,2021-08-06,reject military coup
234,2021-08-06,suppo nug
236,2021-08-06,reject military coup
258,2021-08-06,haish gym closed
260,2021-08-06,good morning everyone~ stay safe stay healthy~
302,2021-08-06,suppo nug
340,2021-08-06,useless self serving sac myanmar people forced find solutions people bel
342,2021-08-06,useless self serving sac myanmar people forced find solutions people bel
344,2021-08-06,reject military coup
345,2021-08-06,suppo nug
373,2021-08-06,useless self serving sac myanmar people forced find solutions people bel
508,2021-08-06,useless self serving sac myanmar people forced find solutions people bel
522,2021-08-06,filmed imax suicide squad locked loaded high caliber action experience imax weeke
533,2021-08-06,suppo nug
542,2021-08-06,reject military coup
557,2021-08-06,3021
576,2021-08-06,suppo nug
577,2021-08-06,reject military coup
578,2021-08-06,civilians muse northern shan region fleeing terrorists shot wit
595,2021-08-06,civilians muse northern shan region fleeing terrorists shot wit
596,2021-08-06,useless self serving sac myanmar people forced find solutions people bel
601,2021-08-06,suppo nug
602,2021-08-06,reject military coup
619,2021-08-06,useless self serving sac myanmar people forced find solutions people bel
657,2021-08-06,suppo nug
658,2021-08-06,reject military coup
706,2021-08-06,suppo nug
707,2021-08-06,reject military coup
713,2021-08-06,useless self serving sac myanmar people forced find solutions people bel
720,2021-08-06,useless self serving sac myanmar people forced find solutions people bel
743,2021-08-06,useless self serving sac myanmar people forced find solutions people bel
761,2021-08-06,suppo nug
763,2021-08-06,reject military coup
946,2021-08-06,suppo nug
948,2021-08-06,reject military coup
956,2021-08-06,useless self serving sac myanmar people forced find solutions people bel
973,2021-08-06,
1005,2021-08-06,reject military coup
1006,2021-08-06,suppo nug
1021,2021-08-06,suppo nug
1023,2021-08-06,reject military coup
1034,2021-08-06,useless self serving sac myanmar people forced find solutions people bel
1046,2021-08-06,suppo nug
1047,2021-08-06,reject military coup
1062,2021-08-06,suppo nug
1063,2021-08-06,reject military coup
1064,2021-08-06,reject military coup
1066,2021-08-06,suppo nug
1069,2021-08-06,useless self serving sac myanmar people forced find solutions people bel
1089,2021-08-06,
1127,2021-08-06,useless self serving sac myanmar people forced find solutions people bel
1129,2021-08-06,tamil nadus training thousands nurses handle kids covid preps 3rd wave
1155,2021-08-06,refugees triniti idp camp palana ward myitkyina infected covid foods medicines
1226,2021-08-06,useless self serving sac myanmar people forced find solutions people bel
1238,2021-08-06,
1252,2021-08-06,
1265,2021-08-06,useless self serving sac myanmar people forced find solutions people bel
1270,2021-08-06,suppo nug
1271,2021-08-06,reject military coup
1276,2021-08-06,useless self serving sac myanmar people forced find solutions people bel
1284,2021-08-06,
1289,2021-08-06,
1366,2021-08-06,
1373,2021-08-06,cnn fires employees came office unvaccinated memo
1416,2021-08-06,bus stop opp blk 333 singapore
1420,2021-08-06,
1423,2021-08-06,
1424,2021-08-06,civilians muse northern shan region fleeing terrorists shot wit
1430,2021-08-06,reject military coup
1431,2021-08-06,suppo nug
1456,2021-08-06,
1524,2021-08-06,pregnant women facing difficulties brutalities junta covid pandemic long
1526,2021-08-06,covid crisis myanmar
1572,2021-08-06,covid crisis myanmar need help covid
1574,2021-08-06,
1577,2021-08-06,military dictator provide effective medical care people people trying cure
1578,2021-08-06,covid crisis myanmar
1580,2021-08-06,pregnant women facing difficulties brutalities junta covid pandemic long
1602,2021-08-06,suppo nug
1605,2021-08-06,reject military coup
1612,2021-08-06,
1615,2021-08-06,pregnant women facing difficulties brutalities junta covid pandemic long
1616,2021-08-06,covid crisis myanmar
1617,2021-08-06,military dictator provide effective medical care people people trying cure
1618,2021-08-06,bus stop opp blk 461 singapore
