,user_screenname,tweet_text
0,ChannelNewsAsia,Delta variant spreads in Sydney as Australia widens COVID-19 restrictions https://t.co/Cw9rzhw1fo https://t.co/Qr6aFQG7A3
1,kixes,"How have your cats changed during the pandemic?

Because I've been home more, one of our boys has become *even more… https://t.co/VbyBum8Okm"
2,kixes,RT @rachdefoe: A media intelligence agency was commissioned via crowdfunding from a group of individuals (not an organisation) to analyse h…
3,straits_times,Man's huge regret after elderly parents get Covid-19: Not convincing them to get vaccinated early https://t.co/TTrlMCxTH3
4,lioncitysailors,"🗣️""We know how difficult it is to play against Balestier at their home ground.""

Sailors towering Brazilian Jorge F… https://t.co/ISuA72ciUY"
5,ChannelNewsAsia,"Indonesia monitoring COVID-19 impact on companies, spillover risk: Finance Minister https://t.co/jXXjHaVnnI https://t.co/MOdQ907UE4"
6,historyogi,"RT @SCDF: [Decommissioning of SCDF's pioneer vessels]

When SCDF took over the marine firefighting and rescue functions from Maritime and P…"
7,historyogi,@nicshields I only know Broome cos flights from Singapore pass over on the way to Melbourne.
8,historyogi,"RT @PeterHoskinsTV: Did you know about the *other* Singapore… in Michigan, USA? Founded in 1836 by New York land speculator Oshea Wilder, w…"
9,MatthewMohanCNA,"Day 17 of coverage at #Tokyo2020 and I’m here for one athlete and one athlete only. Jonathan Chan, Singapore’s firs… https://t.co/sKSwEUuZgZ"
10,TODAYonline,"Chinese gold medalist was asked about her “masculine” appearance, prompting outrage https://t.co/i0tWEyBIr2 https://t.co/C2dofyRd1k"
11,leehsienloong,"This year, we again held a hybrid National Day Observance Ceremony at the Istana due to COVID-19. Glad to see our P… https://t.co/rz5WkvzdpK"
12,kixes,"This is happening even though classes are generally held online, and can be taught from anywhere. Some thought they… https://t.co/juQK26CDwo"
13,straits_times,"President Halimah, PM Lee join 300 civil servants for National Day observance ceremony https://t.co/xHhHBtr4y5"
14,straits_times,Foreign worker died from electric shock while stealing cables: Coroner https://t.co/kRJGwbKEeG
15,kixes,"Academics I spoke to were frustrated by these policies that they don't understand, and feel like it's both punishme… https://t.co/HzPCPAmvKX"
16,TODAYonline,RT @JustinOngTODAY: Jonathan Chan competes now in the Men's 10m platform. Posts two scores in the 50s and has to play catch up for the rema…
17,straits_times,Unvaccinated workers in construction sites must be clearly identified from Aug 16: BCA https://t.co/FbfYZDBCOm
18,STForeignDesk,Thailand braces for new Covid-19 clusters as Delta spreads wider https://t.co/aGgBgS2juL
19,straits_times,RT @STForeignDesk: Thailand braces for new Covid-19 clusters as Delta spreads wider https://t.co/aGgBgS2juL
20,ChannelNewsAsia,Vietnam's capital to extend COVID-19 curbs as new clusters emerge https://t.co/8gMHSV9vnX https://t.co/9ws6d2U6lB
21,TODAYonline,Complaints against renovation contractors almost double in first half of 2021: Consumer watchdog… https://t.co/eX2f5r5VR1
22,TODAYonline,31 BN MPs pledge support for Malaysian PM Muhyiddin https://t.co/q3CNEDxIsP https://t.co/jzlBQY5Swb
23,STForeignDesk,Vietnam's capital to extend Covid-19 curbs as new clusters emerge https://t.co/YEwPYIOlL7
24,straits_times,RT @STForeignDesk: Vietnam's capital to extend Covid-19 curbs as new clusters emerge https://t.co/YEwPYIOlL7
25,straits_times,RT @STForeignDesk: 'Lockdown-lite': What Japan does to curb Covid-19 spread https://t.co/7SKNK9MVmC
26,ChannelNewsAsia,"Olympics-Boxing-Price fightback gives Britain another gold shot, Cuba's Cruz dominates https://t.co/zz52MAmExS https://t.co/BLhlGsdIYs"
27,ChannelNewsAsia,Philippine capital back in COVID-19 lockdown over Delta variant fears https://t.co/F6CxdDsAbB https://t.co/m3Vztb48Md
28,straits_times,RT @STsportsdesk: We are here at the Tokyo Aquatic Centre where diver Jonathan Chan will take part in the men's 10m platform preliminary ro…
29,STForeignDesk,Indonesian DJ faces pornography charges over Covid-19 bikini protest https://t.co/BRtf0aDhWs
30,STForeignDesk,Expats to be locked in on return as Australia tightens borders to curb Covid-19 https://t.co/TZRyje3Wh2
31,straits_times,RT @STForeignDesk: Indonesian DJ faces pornography charges over Covid-19 bikini protest https://t.co/BRtf0aDhWs
32,TODAYonline,"Other universities, IHLs not planning to follow NUS move to test students regularly https://t.co/gcuFMhdbal https://t.co/a5xMQ7t41a"
33,TODAYonline,"Other universities, institutes of higher learning not planning to follow NUS move to test students regularly… https://t.co/66KgfIR6Tp"
34,kixes,Sharing @PeterGuest's story again: https://t.co/xPUtLejfsU
35,ChannelNewsAsia,"Malaysia reports 20,889 new COVID-19 cases, breaking record for 3rd straight day https://t.co/CQ0tFfKurk https://t.co/Mz8nvQlTwQ"
36,TODAYonline,Manila back in lockdown over Delta fears https://t.co/i6uDWQl4sw https://t.co/j51sNJS3PS
37,straits_times,Case reports drop in complaints in Jan-June as consumers respond to Covid-19 changes https://t.co/hrpz6RUu6e
38,STForeignDesk,South African study shows high Covid-19 protection from Johnson & Johnson shot https://t.co/kjwQDh4R5q
39,straits_times,RT @STForeignDesk: South African study shows high Covid-19 protection from Johnson & Johnson shot https://t.co/kjwQDh4R5q
40,ChannelNewsAsia,Diving: Singapore's Jonathan Chan bows out of men's 10m platform at Tokyo Olympics https://t.co/pVdj5qwBYC https://t.co/kujDHWiHnr
41,TODAYonline,US DOJ repatriates another S$611m in 1MDB funds to Malaysia https://t.co/lmdCzGZoJT https://t.co/b8tFUYqGcV
42,straits_times,Six-hour online show made for overseas Singaporeans to join National Day celebrations https://t.co/LVyGQlH2dl
43,straits_times,RT @STForeignDesk: Malaysia's health ministry advised against relaxing restrictions amid record Covid-19 cases https://t.co/QThgdvcWCJ
44,straits_times,RT @STsportsdesk: Olympics: PM Lee thanks Team Singapore for flying nation's flag high in Tokyo https://t.co/rXLi7dG5PY
45,straits_times,RT @STsportsdesk: Golf: Harris English shoots 62 to take two-shot first-round lead at WGC-St Jude event https://t.co/uYkmHYLKZO
46,STForeignDesk,"Delta-spooked Philippine capital goes back on hard, sweeping Covid-19 lockdown https://t.co/faEMgptjMU"
47,STForeignDesk,Australia's 'Covid zero' days may be numbered https://t.co/usA3z8wpRc
48,straits_times,RT @STForeignDesk: Australia's 'Covid zero' days may be numbered https://t.co/usA3z8wpRc
49,kixes,At the root is the same opaque approvals process that expats talked to me about last year. Despite having long-term… https://t.co/0C3iAEUWib
50,historyogi,"RT @septian: % of severe/critical cases by vaccination status over the last 28 days:

- Fully vax'd: 0.71% (8 / 1,133)
- Partially vax'd: 2…"
51,kixes,@nfyahaya My impression is that universities in Singapore are very into their academics getting published in big-na… https://t.co/QF84kqzWjj
52,straits_times,RT @ST_LifeTweets: Jennifer Aniston defends decision to cut unvaccinated people from her life https://t.co/nPDgbP9tth
53,MothershipSG,"[JUST IN] From Aug 10, groups of up to 5 persons will be allowed to dine-in at F&B establishments if all diners are fully vaccinated."
54,MothershipSG,Unvaccinated children aged 12 years and below may be included within the group of 5 persons as long as all the chil… https://t.co/wY2bvDOuKQ
55,MothershipSG,"As hawker centres and coffee shops are open-air and naturally ventilated spaces, both vaccinated and unvaccinated p… https://t.co/YugktJoAXG"
56,MothershipSG,"Unvaccinated individuals should remain in groups of no more than 2 persons, to reduce the likelihood of transmission and severe infection."
57,MothershipSG,"[JUST IN] From Aug 10, fully-vaccinated individuals may participate, in groups of up to 5 persons, in higher-risk a… https://t.co/0iJcNtj7bx"
58,JoakimGomez,"RT @MothershipSG: [JUST IN] From Aug 10, groups of up to 5 persons will be allowed to dine-in at F&B establishments if all diners are fully…"
59,ChannelNewsAsia,People who opt for Sinovac or other #COVID19 vaccines in WHO's emergency use list will be considered as fully vacci… https://t.co/T7Bb9p9v46
60,ChannelNewsAsia,"70% of population will have completed 2 #COVID19 vaccine doses by National Day, making Singapore among the most hig… https://t.co/kZh1T2EBp2"
61,MothershipSG,"Dine-in allowed in S'pore for fully vaccinated people from Aug. 10, up to groups of 5 https://t.co/LtoNB5VMB3 https://t.co/Ro7yNJMw4y"
62,ChannelNewsAsia,"Singapore reports 93 new locally transmitted #COVID19 cases, including 29 unlinked infections… https://t.co/Nfv55BEjaL"
63,JoakimGomez,"RT @MothershipSG: [JUST IN] From Aug 10, fully-vaccinated individuals may participate, in groups of up to 5 persons, in higher-risk activit…"
64,MothershipSG,"[JUST IN] Dine-in allowed in S'pore for fully vaccinated people from Aug. 10, up to groups of 5… https://t.co/S6IB7F5BO8"
65,MothershipSG,[JUST IN] Individuals taking Sinovac & AstraZeneca to be considered ‘fully vaccinated’ for S’pore’s differentiated… https://t.co/xB6U9Sfw6a
66,ChannelNewsAsia,"""Vaccinate or regular test"" regime to be introduced for some sectors from Oct 1, including those working with vulne… https://t.co/KcCl6lgIJ0"
67,ChannelNewsAsia,Dining-in to resume for fully vaccinated people in groups of 5 from Aug 10 https://t.co/gWx977eAdR https://t.co/QbGRE2pyEk
68,TODAYonline,"Covid-19: Live performances, worship services and other events can take up to 500 fully vaccinated attendees from A… https://t.co/qE0rnXTizi"
69,ChannelNewsAsia,"Those who opt for Sinovac, other vaccines under WHO emergency list to be considered fully vaccinated… https://t.co/KzOuaJR39D"
70,TODAYonline,"From Oct 1, unvaccinated workers from F&B, other higher-risk sectors must take Covid-19 rapid tests twice weekly… https://t.co/p0bEKl6KxZ"
71,ChannelNewsAsia,Fully vaccinated travellers from 8 countries to be allowed to serve stay-home notice at their residence… https://t.co/c3GaE8NfOV
72,kixes,"They still haven't opened up access to vaccines for short-term visit pass holders, so this means that from Tuesday… https://t.co/qGYIiYICsf"
73,kixes,Perhaps a glimmer of light for some of these academics: https://t.co/JGJwQ3SiFq
