,retweeted_tweet_id,retweeted_tweet_date,tweet_date,retweeted_user_screenname,total_engagement,delta_engagement
0,1422719840641503232,2021-08-04,2021-08-04,nuffsaidny,257065,0
1,1422719840641503232,2021-08-04,2021-08-05,nuffsaidny,361512,104447
2,1422719840641503232,2021-08-04,2021-08-06,nuffsaidny,445706,84194
3,1423852028082544640,2021-08-07,2021-08-08,0764mg,2035,0
4,1423852028082544640,2021-08-07,2021-08-09,0764mg,2582,547
5,1424509535096500224,2021-08-08,2021-08-09,bewithviolet,40176,0
6,1424509535096500224,2021-08-08,2021-08-10,bewithviolet,46325,6149
7,1424546156336467968,2021-08-09,2021-08-09,brian2grimey,16668,0
8,1424546156336467968,2021-08-09,2021-08-10,brian2grimey,800351,783683
9,1424546156336467968,2021-08-09,2021-08-11,brian2grimey,835580,35229
10,1424567158797910016,2021-08-09,2021-08-09,DevilArtemisX,10278,0
11,1424567158797910016,2021-08-09,2021-08-10,DevilArtemisX,145013,134735
12,1424567158797910016,2021-08-09,2021-08-11,DevilArtemisX,156770,11757
13,1424628772356071424,2021-08-09,2021-08-09,IamAjak,63418,0
14,1424628772356071424,2021-08-09,2021-08-10,IamAjak,136052,72634
15,1424628772356071424,2021-08-09,2021-08-12,IamAjak,138712,2660
16,1424662560909922304,2021-08-09,2021-08-09,muttons,99,0
17,1424662560909922304,2021-08-09,2021-08-10,muttons,1915,1816
18,1424662560909922304,2021-08-09,2021-08-11,muttons,2074,159
19,1424662560909922304,2021-08-09,2021-08-12,muttons,2178,104
20,1426637601897816064,2021-08-14,2021-08-16,gabriellamarrie,269157,0
21,1426637601897816064,2021-08-14,2021-08-17,gabriellamarrie,707065,437908
22,1426637601897816064,2021-08-14,2021-08-22,gabriellamarrie,715539,8474
23,1426637601897816064,2021-08-14,2021-08-26,gabriellamarrie,715404,-135
24,1427195567088750592,2021-08-16,2021-08-17,angelamavalla,62922,0
25,1427195567088750592,2021-08-16,2021-08-18,angelamavalla,136430,73508
26,1427408778627059712,2021-08-16,2021-08-18,lukeyism,118156,0
27,1427408778627059712,2021-08-16,2021-08-19,lukeyism,138359,20203
28,1427756441293578240,2021-08-17,2021-08-18,HeyMaliniK,129054,0
29,1427756441293578240,2021-08-17,2021-08-19,HeyMaliniK,284593,155539
30,1427756441293578240,2021-08-17,2021-08-20,HeyMaliniK,303170,18577
31,1427756441293578240,2021-08-17,2021-08-21,HeyMaliniK,303491,321
32,1427756441293578240,2021-08-17,2021-08-22,HeyMaliniK,304052,561
33,1428000605566427136,2021-08-18,2021-08-18,thjinnnnn,13985,0
34,1428000605566427136,2021-08-18,2021-08-19,thjinnnnn,103969,89984
35,1428000605566427136,2021-08-18,2021-08-20,thjinnnnn,111259,7290
36,1428573793014910976,2021-08-20,2021-08-20,KnoppRyan,49069,0
37,1428573793014910976,2021-08-20,2021-08-21,KnoppRyan,79846,30777
38,1428573793014910976,2021-08-20,2021-08-23,KnoppRyan,135461,55615
39,1428584131835748352,2021-08-20,2021-08-20,PostCultRev,38398,0
40,1428584131835748352,2021-08-20,2021-08-21,PostCultRev,83033,44635
41,1428584131835748352,2021-08-20,2021-08-22,PostCultRev,97978,14945
42,1428584131835748352,2021-08-20,2021-08-23,PostCultRev,98744,766
43,1429408033826775040,2021-08-22,2021-08-23,AlifSykes_,1520,0
44,1429408033826775040,2021-08-22,2021-08-24,AlifSykes_,2184,664
45,1429408033826775040,2021-08-22,2021-08-25,AlifSykes_,2327,143
46,1429408033826775040,2021-08-22,2021-08-26,AlifSykes_,2359,32
47,1429454389421428736,2021-08-22,2021-08-22,JustinTrudeau,16440,0
48,1429454389421428736,2021-08-22,2021-08-23,JustinTrudeau,49407,32967
49,1430228512988876800,2021-08-24,2021-08-25,Tegotm1,117390,0
50,1430228512988876800,2021-08-24,2021-08-26,Tegotm1,164645,47255
51,1430237555891507200,2021-08-24,2021-08-25,hornedbride,16272,0
52,1430237555891507200,2021-08-24,2021-08-26,hornedbride,58483,42211
53,1430237555891507200,2021-08-24,2021-08-27,hornedbride,67795,9312
54,1430264566013911040,2021-08-24,2021-08-25,joannamont,266836,0
55,1430264566013911040,2021-08-24,2021-08-26,joannamont,478264,211428
56,1431572819599577088,2021-08-28,2021-08-29,hotgirlzizek,159973,0
57,1431572819599577088,2021-08-28,2021-08-30,hotgirlzizek,233292,73319
58,1431572819599577088,2021-08-28,2021-08-31,hotgirlzizek,234095,803
59,1431572819599577088,2021-08-28,2021-09-02,hotgirlzizek,234774,679
60,1431612001743036416,2021-08-28,2021-08-29,TranquilityRuse,31090,0
61,1431612001743036416,2021-08-28,2021-08-30,TranquilityRuse,67198,36108
62,1432311408981467136,2021-08-30,2021-08-31,rabbaniahmad_,9731,0
63,1432311408981467136,2021-08-30,2021-09-01,rabbaniahmad_,43377,33646
64,1432311408981467136,2021-08-30,2021-09-02,rabbaniahmad_,47950,4573
65,1432311408981467136,2021-08-30,2021-09-03,rabbaniahmad_,52348,4398
66,1432455147968417792,2021-08-30,2021-08-31,RxcMxc,72247,0
67,1432455147968417792,2021-08-30,2021-09-01,RxcMxc,154489,82242
68,1433239881891844096,2021-09-02,2021-09-03,HippyOrthoPA,9030,0
69,1433239881891844096,2021-09-02,2021-09-04,HippyOrthoPA,37794,28764
70,1436005248800264192,2021-09-09,2021-09-10,BillyArmagh,12714,0
71,1436005248800264192,2021-09-09,2021-09-11,BillyArmagh,41319,28605
