,retweeted_tweet_id,retweeted_tweet_date,tweet_date,retweeted_user_screenname,total_engagement,delta_engagement
0,1422719840641503232,2021-08-04,2021-08-04,nuffsaidny,257065,0
1,1422719840641503232,2021-08-04,2021-08-05,nuffsaidny,361512,104447
2,1422719840641503232,2021-08-04,2021-08-06,nuffsaidny,445706,84194
3,1423852028082544640,2021-08-07,2021-08-08,0764mg,2035,0
4,1423852028082544640,2021-08-07,2021-08-09,0764mg,2582,547
5,1424509535096500224,2021-08-08,2021-08-09,bewithviolet,40176,0
6,1424509535096500224,2021-08-08,2021-08-10,bewithviolet,46325,6149
7,1424546156336467968,2021-08-09,2021-08-09,brian2grimey,16668,0
8,1424546156336467968,2021-08-09,2021-08-10,brian2grimey,800351,783683
9,1424546156336467968,2021-08-09,2021-08-11,brian2grimey,835580,35229
10,1424628772356071424,2021-08-09,2021-08-09,IamAjak,63418,0
11,1424628772356071424,2021-08-09,2021-08-10,IamAjak,136052,72634
12,1424628772356071424,2021-08-09,2021-08-12,IamAjak,138712,2660
13,1424662560909922304,2021-08-09,2021-08-09,muttons,99,0
14,1424662560909922304,2021-08-09,2021-08-10,muttons,1915,1816
15,1424662560909922304,2021-08-09,2021-08-11,muttons,2074,159
16,1424662560909922304,2021-08-09,2021-08-12,muttons,2178,104
17,1426637601897816064,2021-08-14,2021-08-16,gabriellamarrie,269157,0
18,1426637601897816064,2021-08-14,2021-08-17,gabriellamarrie,707065,437908
19,1426637601897816064,2021-08-14,2021-08-22,gabriellamarrie,715539,8474
20,1426637601897816064,2021-08-14,2021-08-26,gabriellamarrie,715404,-135
21,1427408778627059712,2021-08-16,2021-08-18,lukeyism,118156,0
22,1427408778627059712,2021-08-16,2021-08-19,lukeyism,138359,20203
23,1429408033826775040,2021-08-22,2021-08-23,AlifSykes_,1520,0
24,1429408033826775040,2021-08-22,2021-08-24,AlifSykes_,2184,664
25,1429408033826775040,2021-08-22,2021-08-25,AlifSykes_,2327,143
26,1429408033826775040,2021-08-22,2021-08-26,AlifSykes_,2359,32
27,1430264566013911040,2021-08-24,2021-08-25,joannamont,266836,0
28,1430264566013911040,2021-08-24,2021-08-26,joannamont,478264,211428
