,retweeted_tweet_id,retweeted_tweet_date,tweet_date,retweeted_user_screenname,total_engagement,delta_engagement
0,1423107220636508160,2021-08-05,2021-08-06,georgjar,198625,0
1,1423107220636508160,2021-08-05,2021-08-08,georgjar,231892,33267
2,1424225825998573568,2021-08-08,2021-08-08,cvdom2021,2686,0
3,1424225825998573568,2021-08-08,2021-08-09,cvdom2021,2891,205
4,1424225825998573568,2021-08-08,2021-08-10,cvdom2021,3039,148
5,1424406265254408192,2021-08-08,2021-08-09,malissaali,83097,0
6,1424509535096500224,2021-08-08,2021-08-09,bewithviolet,40176,0
7,1424509535096500224,2021-08-08,2021-08-10,bewithviolet,46325,6149
8,1424565188305555712,2021-08-09,2021-08-09,ZackAvaricious,9008,0
9,1424565188305555712,2021-08-09,2021-08-10,ZackAvaricious,35022,26014
10,1424618122527531008,2021-08-09,2021-08-09,acertainjolene,296,0
11,1424618122527531008,2021-08-09,2021-08-10,acertainjolene,703,407
12,1425968836612960512,2021-08-12,2021-08-13,Booker4KY,16669,0
13,1425968836612960512,2021-08-12,2021-08-14,Booker4KY,46397,29728
14,1426331257659592704,2021-08-13,2021-08-14,jiggy_japh,84044,0
15,1426331257659592704,2021-08-13,2021-08-15,jiggy_japh,258872,174828
16,1426331257659592704,2021-08-13,2021-08-16,jiggy_japh,267045,8173
17,1427195567088750592,2021-08-16,2021-08-17,angelamavalla,62922,0
18,1427195567088750592,2021-08-16,2021-08-18,angelamavalla,136430,73508
19,1427707880405442560,2021-08-17,2021-08-18,ConorHaloReach,176985,0
20,1427707880405442560,2021-08-17,2021-08-19,ConorHaloReach,244318,67333
21,1428060169485836288,2021-08-18,2021-08-19,meesterleesir,25435,0
22,1428060169485836288,2021-08-18,2021-08-20,meesterleesir,70185,44750
23,1428060169485836288,2021-08-18,2021-08-23,meesterleesir,79677,9492
24,1428372322709393408,2021-08-19,2021-08-20,Duanecia,78438,0
25,1428372322709393408,2021-08-19,2021-08-22,Duanecia,108810,30372
26,1428584131835748352,2021-08-20,2021-08-20,PostCultRev,38398,0
27,1428584131835748352,2021-08-20,2021-08-21,PostCultRev,83033,44635
28,1428584131835748352,2021-08-20,2021-08-22,PostCultRev,97978,14945
29,1428584131835748352,2021-08-20,2021-08-23,PostCultRev,98744,766
30,1428878771067707392,2021-08-21,2021-08-22,simsimmaaz,216383,0
31,1428878771067707392,2021-08-21,2021-08-23,simsimmaaz,244367,27984
32,1430228512988876800,2021-08-24,2021-08-25,Tegotm1,117390,0
33,1430228512988876800,2021-08-24,2021-08-26,Tegotm1,164645,47255
34,1430264566013911040,2021-08-24,2021-08-25,joannamont,266836,0
35,1430264566013911040,2021-08-24,2021-08-26,joannamont,478264,211428
36,1432311408981467136,2021-08-30,2021-08-31,rabbaniahmad_,9731,0
37,1432311408981467136,2021-08-30,2021-09-01,rabbaniahmad_,43377,33646
38,1432311408981467136,2021-08-30,2021-09-02,rabbaniahmad_,47950,4573
39,1432311408981467136,2021-08-30,2021-09-03,rabbaniahmad_,52348,4398
40,1432909262280278016,2021-09-01,2021-09-01,OutWithMehh,1300,0
41,1432909262280278016,2021-09-01,2021-09-02,OutWithMehh,1683,383
42,1432909262280278016,2021-09-01,2021-09-03,OutWithMehh,3750,2067
43,1432909262280278016,2021-09-01,2021-09-04,OutWithMehh,4237,487
44,1432909262280278016,2021-09-01,2021-09-05,OutWithMehh,4810,573
45,1432909262280278016,2021-09-01,2021-09-07,OutWithMehh,5760,950
46,1432909262280278016,2021-09-01,2021-09-12,OutWithMehh,6098,338
47,1432909262280278016,2021-09-01,2021-09-15,OutWithMehh,6184,86
48,1432909262280278016,2021-09-01,2021-09-16,OutWithMehh,6217,33
49,1435889645343096832,2021-09-09,2021-09-10,jackashbyy,14663,0
50,1435889645343096832,2021-09-09,2021-09-11,jackashbyy,92421,77758
51,1436005248800264192,2021-09-09,2021-09-10,BillyArmagh,12714,0
52,1436005248800264192,2021-09-09,2021-09-11,BillyArmagh,41319,28605
53,1436158174252318720,2021-09-10,2021-09-10,trixieaaang,8468,0
54,1436158174252318720,2021-09-10,2021-09-11,trixieaaang,117901,109433
55,1436158174252318720,2021-09-10,2021-09-12,trixieaaang,149512,31611
56,1436158174252318720,2021-09-10,2021-09-14,trixieaaang,178750,29238
57,1436158174252318720,2021-09-10,2021-09-15,trixieaaang,181899,3149
58,1436338636119760896,2021-09-10,2021-09-10,itsJeffTiedrich,1336,0
59,1436338636119760896,2021-09-10,2021-09-12,itsJeffTiedrich,25986,24650
60,1437736253563162624,2021-09-14,2021-09-15,hahazebr4,1737,0
61,1437736253563162624,2021-09-14,2021-09-16,hahazebr4,2118,381
62,1437736253563162624,2021-09-14,2021-09-18,hahazebr4,2218,100
63,1437806288952570112,2021-09-14,2021-09-15,jaynooch,97154,0
64,1437806288952570112,2021-09-14,2021-09-16,jaynooch,155462,58308
65,1438235812982935552,2021-09-15,2021-09-16,sakandthecity,4636,0
66,1438235812982935552,2021-09-15,2021-09-17,sakandthecity,44425,39789
67,1438235812982935552,2021-09-15,2021-09-18,sakandthecity,56245,11820
68,1438235812982935552,2021-09-15,2021-09-21,sakandthecity,57616,1371
