,retweeted_tweet_id,tweet_text_,tweet_date,tweet_sentiment,retweeted_user_geo_coding,retweeted_tweet_date,retweeted_user_screenname,total_engagement,retweeted_user_screenname,color
0,1422920033597116416,Why y’all buying Fake Vaccination cards for $500 when the vaccine is FREE ? https://t.co/NHuZYv3U26,2021-08-06,positive,United States,2021-08-04,Labreezeiana,437996,Labreezeiana,#AA0DFE
1,1423852028082544640,I think singapore has progressed far enough to put bidets/sprays in every toilet pls....,2021-08-09,positive,Unknown,2021-08-07,0764mg,2582,0764mg,#3283FE
2,1424062469102768128,"Obama just had tons of people at his party. Maskless. No vaxx mandate. 

They are laughing at you. https://t.co/5AyUQAQO3R",2021-08-08,positive,China,2021-08-07,JackPosobiec,45077,JackPosobiec,#85660D
3,1424416621683150848,"“I trust my immune system” is such a weird reason not to get the vaccine. 

Yeah, I trust mine to protect me too, which…",2021-08-10,positive,Unknown,2021-08-08,AllisonLCarter,252540,AllisonLCarter,#782AB6
4,1424494427905560576,"Siti sarah’s songs will hit differently now. An angel with one of a kind voice, a mother and a loving wife. Although she bat…",2021-08-15,positive,Unknown,2021-08-08,iraadnan_,68683,iraadnan_,#565656
5,1424512552881381376,woke up to a heartbreaking news about siti sarah’s death due to covid... covid is real guys. take care of your loved ones…,2021-08-10,positive,Malaysia,2021-08-08,muhdnajib103,36312,muhdnajib103,#1C8356
6,1424662560909922304,"Pro tip for all our F&B friends:
From tomorrow, some anti-vax mooks might try to pull a fast one by screenshotting friends’ TT…",2021-08-12,positive,Unknown,2021-08-09,muttons,2178,muttons,#16FF32
7,1424793582603489280,"I want the world to see the blatant hypocrisy we see in Texas everyday. Schools aren't allowed to require testing, vaccin…",2021-08-11,positive,United States,2021-08-09,kateweaverUT,43613,kateweaverUT,#F7E1A0
8,1425070584455520512,"Lagi satu nak pesan ni, vaccination cert you tu, kalau nak post ke apa, please plssss cover the vaccine batch number too. Bu…",2021-08-11,positive,Malaysia,2021-08-10,AD0RABOWL,26509,AD0RABOWL,#E2E2E2
9,1425267281202909184,"i was a vaccine checker tonight at my venue and i swear to god i’m not fucking with you, one couple came up to me and a…",2021-08-13,positive,Unknown,2021-08-11,sarahrxdriguez,445093,sarahrxdriguez,#1CBE4F
10,1425305983820079104,"Lessons from covid19.

1 Life is short
2 Jobs are temporary
3 Your savings can save you
4 Your greatest wealth is your health",2021-08-17,positive,Malaysia,2021-08-11,iwanqais,35109,iwanqais,#C4451C
11,1426588746112250112,"Taking care of sick young unvaxxed patient, hanging antibiotics & giving other meds...

RN: ""why are you so against getti…",2021-09-15,positive,Unknown,2021-08-14,NurseSheepie,98155,NurseSheepie,#DEA0FD
12,1428327590612275200,"A reminder to all, many places are opening because of economy & not because it is safe. Please keep that in mind; please wear…",2021-08-21,positive,Unknown,2021-08-19,DGHisham,112970,DGHisham,#FE00FA
13,1428336682756096000,A friend of mine lost his wife to COVID and joined a support group of other men who experienced the same thing and three…,2021-08-21,positive,United States,2021-08-19,indigogloves,348079,indigogloves,#325A9B
14,1428342197859066112,Pray All This COVID Shìt Go Away Fa Good ..,2021-08-20,positive,Unknown,2021-08-19,KodakBlack1k,42879,KodakBlack1k,#FEAF16
15,1428490723054206976,We have administered over one million COVID-19 vaccine doses in the past 24 hours — that’s the highest number in seven weeks.…,2021-08-20,positive,United States,2021-08-19,POTUS,69344,POTUS,#F8A19F
16,1428505566821892096,I’ve had people ask me why I didn’t report as aggressively during the H1N1 pandemic. I’d like everyone to hear the tru…,2021-08-21,positive,United States,2021-08-19,sabrinaamorenoo,415588,sabrinaamorenoo,#90AD1C
17,1428573793014910976,"Happy day for me. Several people I care a lot about got the COVID vaccine today, overcoming some hesitancy.  What do I say t…",2021-08-23,positive,United States,2021-08-20,KnoppRyan,135461,KnoppRyan,#F6222E
18,1428646836244336640,"ASEAN's progress on Myanmar has not been as effective as hoped, Singapore's foreign minister @VivianBala said in an intervie…",2021-08-23,positive,Thailand,2021-08-20,TostevinM,2342,TostevinM,#1CFFCE
19,1429326720084099072,Thank you Foreign Minister @VivianBala for welcoming me to Singapore. Southeast Asia and the Indo-Pacific are critically important…,2021-08-25,positive,United States,2021-08-22,VP,25964,VP,#2ED9FF
20,1429840792684843008,"""i dont want to be part of the vaccine experiment"" bro you are. youre just in the control group.",2021-08-27,positive,Unknown,2021-08-23,hideymchideface,179802,hideymchideface,#B10DA1
21,1430237555891507200,the longer this pandemic goes on the funnier this image gets https://t.co/KUquu5TlaK,2021-08-27,positive,Unknown,2021-08-24,hornedbride,67795,hornedbride,#C075A6
22,1430640456933720064,"I was showing my vaccine card at a bar last night and one of my friends was like, “oh, it’s not laminated or anything?” a…",2021-08-27,positive,Unknown,2021-08-25,gldivittorio,175035,gldivittorio,#FC1CBF
23,1432605042356281088,"What people think Malay Supremacy in Singapore looks like: “We are the OG inhabitants so GIVE US ALL THE FREE THINGS.”

What…",2021-09-02,positive,Unknown,2021-08-31,hidzdotfm,1813,hidzdotfm,#B00068
24,1437940924630274048,Imagine being 60 and still hung up over what school people go to. Like a two-bit parody of elitism in Singapore. Only tha…,2021-09-16,positive,Unknown,2021-09-15,lim_jialiang,990,lim_jialiang,#FBE426
