,retweeted_tweet_id,retweeted_tweet_date,tweet_date,retweeted_user_screenname,total_engagement,delta_engagement
0,1422920033597116416,2021-08-04,2021-08-05,Labreezeiana,315325,0
1,1422920033597116416,2021-08-04,2021-08-06,Labreezeiana,437996,122671
2,1423852028082544640,2021-08-07,2021-08-08,0764mg,2035,0
3,1423852028082544640,2021-08-07,2021-08-09,0764mg,2582,547
4,1424062469102768128,2021-08-07,2021-08-07,JackPosobiec,14014,0
5,1424062469102768128,2021-08-07,2021-08-08,JackPosobiec,45077,31063
6,1424416621683150848,2021-08-08,2021-08-09,AllisonLCarter,31239,0
7,1424416621683150848,2021-08-08,2021-08-10,AllisonLCarter,252540,221301
8,1424494427905560576,2021-08-08,2021-08-08,iraadnan_,14984,0
9,1424494427905560576,2021-08-08,2021-08-09,iraadnan_,66336,51352
10,1424494427905560576,2021-08-08,2021-08-15,iraadnan_,68683,2347
11,1424512552881381376,2021-08-08,2021-08-09,muhdnajib103,32106,0
12,1424512552881381376,2021-08-08,2021-08-10,muhdnajib103,36312,4206
13,1424662560909922304,2021-08-09,2021-08-09,muttons,99,0
14,1424662560909922304,2021-08-09,2021-08-10,muttons,1915,1816
15,1424662560909922304,2021-08-09,2021-08-11,muttons,2074,159
16,1424662560909922304,2021-08-09,2021-08-12,muttons,2178,104
17,1424793582603489280,2021-08-09,2021-08-10,kateweaverUT,15709,0
18,1424793582603489280,2021-08-09,2021-08-11,kateweaverUT,43613,27904
19,1425070584455520512,2021-08-10,2021-08-10,AD0RABOWL,361,0
20,1425070584455520512,2021-08-10,2021-08-11,AD0RABOWL,26509,26148
21,1425267281202909184,2021-08-11,2021-08-12,sarahrxdriguez,323819,0
22,1425267281202909184,2021-08-11,2021-08-13,sarahrxdriguez,445093,121274
23,1425305983820079104,2021-08-11,2021-08-11,iwanqais,1268,0
24,1425305983820079104,2021-08-11,2021-08-13,iwanqais,19585,18317
25,1425305983820079104,2021-08-11,2021-08-14,iwanqais,28111,8526
26,1425305983820079104,2021-08-11,2021-08-15,iwanqais,33075,4964
27,1425305983820079104,2021-08-11,2021-08-16,iwanqais,33988,913
28,1425305983820079104,2021-08-11,2021-08-17,iwanqais,35109,1121
29,1426588746112250112,2021-08-14,2021-08-15,NurseSheepie,62899,0
30,1426588746112250112,2021-08-14,2021-08-16,NurseSheepie,87264,24365
31,1426588746112250112,2021-08-14,2021-08-19,NurseSheepie,97133,9869
32,1426588746112250112,2021-08-14,2021-09-15,NurseSheepie,98155,1022
33,1428327590612275200,2021-08-19,2021-08-19,DGHisham,86560,0
34,1428327590612275200,2021-08-19,2021-08-20,DGHisham,108409,21849
35,1428327590612275200,2021-08-19,2021-08-21,DGHisham,112970,4561
36,1428336682756096000,2021-08-19,2021-08-19,indigogloves,20494,0
37,1428336682756096000,2021-08-19,2021-08-20,indigogloves,301514,281020
38,1428336682756096000,2021-08-19,2021-08-21,indigogloves,348079,46565
39,1428342197859066112,2021-08-19,2021-08-19,KodakBlack1k,17641,0
40,1428342197859066112,2021-08-19,2021-08-20,KodakBlack1k,42879,25238
41,1428490723054206976,2021-08-19,2021-08-19,POTUS,7626,0
42,1428490723054206976,2021-08-19,2021-08-20,POTUS,69344,61718
43,1428505566821892096,2021-08-19,2021-08-20,sabrinaamorenoo,305122,0
44,1428505566821892096,2021-08-19,2021-08-21,sabrinaamorenoo,415588,110466
45,1428573793014910976,2021-08-20,2021-08-20,KnoppRyan,49069,0
46,1428573793014910976,2021-08-20,2021-08-21,KnoppRyan,79846,30777
47,1428573793014910976,2021-08-20,2021-08-23,KnoppRyan,135461,55615
48,1428646836244336640,2021-08-20,2021-08-20,TostevinM,1525,0
49,1428646836244336640,2021-08-20,2021-08-21,TostevinM,2015,490
50,1428646836244336640,2021-08-20,2021-08-22,TostevinM,2085,70
51,1428646836244336640,2021-08-20,2021-08-23,TostevinM,2342,257
52,1429326720084099072,2021-08-22,2021-08-22,VP,21408,0
53,1429326720084099072,2021-08-22,2021-08-23,VP,24817,3409
54,1429326720084099072,2021-08-22,2021-08-25,VP,25964,1147
55,1429840792684843008,2021-08-23,2021-08-24,hideymchideface,46919,0
56,1429840792684843008,2021-08-23,2021-08-25,hideymchideface,99191,52272
57,1429840792684843008,2021-08-23,2021-08-27,hideymchideface,179802,80611
58,1430237555891507200,2021-08-24,2021-08-25,hornedbride,16272,0
59,1430237555891507200,2021-08-24,2021-08-26,hornedbride,58483,42211
60,1430237555891507200,2021-08-24,2021-08-27,hornedbride,67795,9312
61,1430640456933720064,2021-08-25,2021-08-26,gldivittorio,33193,0
62,1430640456933720064,2021-08-25,2021-08-27,gldivittorio,175035,141842
63,1432605042356281088,2021-08-31,2021-08-31,hidzdotfm,1178,0
64,1432605042356281088,2021-08-31,2021-09-01,hidzdotfm,1774,596
65,1432605042356281088,2021-08-31,2021-09-02,hidzdotfm,1813,39
66,1437940924630274048,2021-09-15,2021-09-15,lim_jialiang,855,0
67,1437940924630274048,2021-09-15,2021-09-16,lim_jialiang,990,135
