,retweeted_tweet_id,retweeted_tweet_date,tweet_date,retweeted_user_screenname,total_engagement,delta_engagement
0,1422804189063696384,2021-08-04,2021-08-04,tzehern_,1129,0
1,1422804189063696384,2021-08-04,2021-08-05,tzehern_,1494,365
2,1422804189063696384,2021-08-04,2021-08-06,tzehern_,1754,260
3,1423938442203865088,2021-08-07,2021-08-07,JoakimGomez,305,0
4,1423938442203865088,2021-08-07,2021-08-08,JoakimGomez,1100,795
5,1423938442203865088,2021-08-07,2021-08-09,JoakimGomez,1403,303
6,1423938442203865088,2021-08-07,2021-08-10,JoakimGomez,1659,256
7,1424158692958564352,2021-08-08,2021-08-08,ChannelNewsAsia,121,0
8,1424158692958564352,2021-08-08,2021-08-09,ChannelNewsAsia,340,219
9,1424158692958564352,2021-08-08,2021-08-10,ChannelNewsAsia,403,63
10,1424598213856620288,2021-08-09,2021-08-09,teamsamgaypore,237,0
11,1424598213856620288,2021-08-09,2021-08-10,teamsamgaypore,884,647
12,1424598213856620288,2021-08-09,2021-08-11,teamsamgaypore,1077,193
13,1424598213856620288,2021-08-09,2021-08-12,teamsamgaypore,1132,55
14,1424598213856620288,2021-08-09,2021-08-13,teamsamgaypore,1336,204
15,1424598213856620288,2021-08-09,2021-08-27,teamsamgaypore,1758,422
16,1424598213856620288,2021-08-09,2021-08-28,teamsamgaypore,1766,8
17,1424598213856620288,2021-08-09,2021-09-07,teamsamgaypore,1895,129
18,1424674508405833728,2021-08-09,2021-08-09,jwlltn,8,0
19,1424674508405833728,2021-08-09,2021-08-10,jwlltn,1549,1541
20,1424674508405833728,2021-08-09,2021-08-11,jwlltn,2351,802
21,1424674508405833728,2021-08-09,2021-08-12,jwlltn,2444,93
22,1424674508405833728,2021-08-09,2021-08-13,jwlltn,2513,69
23,1424674508405833728,2021-08-09,2021-08-14,jwlltn,2530,17
24,1425286325742096384,2021-08-11,2021-08-11,moniza_hossain,268,0
25,1425286325742096384,2021-08-11,2021-08-12,moniza_hossain,1163,895
26,1425644918920208384,2021-08-12,2021-08-12,jalaladdinnush,61,0
27,1425644918920208384,2021-08-12,2021-08-13,jalaladdinnush,4504,4443
28,1425644918920208384,2021-08-12,2021-08-14,jalaladdinnush,4748,244
29,1425644918920208384,2021-08-12,2021-08-15,jalaladdinnush,4843,95
30,1425644918920208384,2021-08-12,2021-08-19,jalaladdinnush,4914,71
31,1425698659115491328,2021-08-12,2021-08-12,kixes,495,0
32,1425698659115491328,2021-08-12,2021-08-13,kixes,1046,551
33,1425698659115491328,2021-08-12,2021-08-14,kixes,1089,43
34,1425698659115491328,2021-08-12,2021-08-15,kixes,1098,9
35,1426151551085596672,2021-08-13,2021-08-13,ShopeeSG,45,0
36,1426151551085596672,2021-08-13,2021-08-15,ShopeeSG,285,240
37,1426764822733987840,2021-08-15,2021-08-15,ChannelNewsAsia,947,0
38,1426764822733987840,2021-08-15,2021-08-16,ChannelNewsAsia,1029,82
39,1426764822733987840,2021-08-15,2021-08-17,ChannelNewsAsia,1115,86
40,1427602871642517504,2021-08-17,2021-08-17,VivianBala,63,0
41,1427602871642517504,2021-08-17,2021-08-19,VivianBala,521,458
42,1427606857938391040,2021-08-17,2021-08-17,stickyriceboyyy,5,0
43,1427606857938391040,2021-08-17,2021-08-17,tattooednsfboy,32,27
44,1427606857938391040,2021-08-17,2021-08-25,shooterboyink,635,603
45,1427606857938391040,2021-08-17,2021-09-19,shooterboyink,696,61
46,1428239844992446464,2021-08-19,2021-08-19,xavierlur,1785,0
47,1428239844992446464,2021-08-19,2021-08-20,xavierlur,2296,511
48,1428239844992446464,2021-08-19,2021-08-21,xavierlur,2313,17
49,1428993025070407936,2021-08-21,2021-08-21,moniza_hossain,529,0
50,1428993025070407936,2021-08-21,2021-08-22,moniza_hossain,6225,5696
51,1428993025070407936,2021-08-21,2021-08-23,moniza_hossain,11843,5618
52,1429284807503085568,2021-08-22,2021-08-22,VivianBala,3360,0
53,1429284807503085568,2021-08-22,2021-08-23,VivianBala,3804,444
54,1429284807503085568,2021-08-22,2021-08-26,VivianBala,3883,79
55,1429825813885513728,2021-08-23,2021-08-23,VivianBala,1628,0
56,1429825813885513728,2021-08-23,2021-08-24,VivianBala,2147,519
57,1430151046886612992,2021-08-24,2021-08-24,VivianBala,4163,0
58,1430151046886612992,2021-08-24,2021-08-25,VivianBala,6306,2143
59,1431961340348751872,2021-08-29,2021-08-29,leehsienloong,293,0
60,1431961340348751872,2021-08-29,2021-08-30,leehsienloong,707,414
61,1433677443642970112,2021-09-03,2021-09-03,xavierlur,1573,0
62,1433677443642970112,2021-09-03,2021-09-04,xavierlur,1809,236
63,1434861199053582336,2021-09-06,2021-09-06,shakiraIaw,381,0
64,1434861199053582336,2021-09-06,2021-09-07,shakiraIaw,1213,832
65,1434861199053582336,2021-09-06,2021-09-08,shakiraIaw,1239,26
66,1434897249826312192,2021-09-06,2021-09-06,JoakimGomez,167,0
67,1434897249826312192,2021-09-06,2021-09-07,JoakimGomez,1122,955
68,1434897249826312192,2021-09-06,2021-09-08,JoakimGomez,1203,81
69,1434897249826312192,2021-09-06,2021-09-19,JoakimGomez,1535,332
70,1435986930152267776,2021-09-09,2021-09-09,MothershipSG,399,0
71,1435986930152267776,2021-09-09,2021-09-10,MothershipSG,667,268
72,1438703201415418112,2021-09-17,2021-09-18,enceraen,12767,0
73,1438703201415418112,2021-09-17,2021-09-19,enceraen,13864,1097
74,1438703201415418112,2021-09-17,2021-09-21,enceraen,14427,563
75,1440187949073666048,2021-09-21,2021-09-21,MothershipSG,1808,0
76,1440187949073666048,2021-09-21,2021-09-22,MothershipSG,2626,818
77,1440562070898962432,2021-09-22,2021-09-22,asonofapeach,3907,0
78,1440562070898962432,2021-09-22,2021-09-23,asonofapeach,7811,3904
