,retweeted_tweet_id,retweeted_tweet_date,tweet_date,retweeted_user_screenname,total_engagement,delta_engagement
0,1423967039538929664,2021-08-07,2021-08-07,tzehern_,281,0
1,1423967039538929664,2021-08-07,2021-08-08,tzehern_,455,174
2,1423967039538929664,2021-08-07,2021-08-10,tzehern_,550,95
3,1424598213856620288,2021-08-09,2021-08-09,teamsamgaypore,237,0
4,1424598213856620288,2021-08-09,2021-08-10,teamsamgaypore,884,647
5,1424598213856620288,2021-08-09,2021-08-11,teamsamgaypore,1077,193
6,1424598213856620288,2021-08-09,2021-08-12,teamsamgaypore,1132,55
7,1424598213856620288,2021-08-09,2021-08-13,teamsamgaypore,1336,204
8,1424598213856620288,2021-08-09,2021-08-27,teamsamgaypore,1758,422
9,1424598213856620288,2021-08-09,2021-08-28,teamsamgaypore,1766,8
10,1424598213856620288,2021-08-09,2021-09-07,teamsamgaypore,1895,129
11,1425698659115491328,2021-08-12,2021-08-12,kixes,495,0
12,1425698659115491328,2021-08-12,2021-08-13,kixes,1046,551
13,1425698659115491328,2021-08-12,2021-08-14,kixes,1089,43
14,1425698659115491328,2021-08-12,2021-08-15,kixes,1098,9
15,1426772180935663616,2021-08-15,2021-08-15,Kokilaparvathi,521,0
16,1428993025070407936,2021-08-21,2021-08-21,moniza_hossain,529,0
17,1428993025070407936,2021-08-21,2021-08-22,moniza_hossain,6225,5696
18,1428993025070407936,2021-08-21,2021-08-23,moniza_hossain,11843,5618
19,1429746098445250560,2021-08-23,2021-08-23,MothershipSG,419,0
20,1429746098445250560,2021-08-23,2021-08-24,MothershipSG,618,199
21,1429835047830360064,2021-08-23,2021-08-23,RedWhiteBlueDot,91,0
22,1429835047830360064,2021-08-23,2021-09-02,RedWhiteBlueDot,435,344
23,1432405270198566912,2021-08-30,2021-08-30,lustfuldesirer,33,0
24,1432405270198566912,2021-08-30,2021-08-31,lustfuldesirer,359,326
25,1432405270198566912,2021-08-30,2021-09-07,lustfuldesirer,520,161
26,1432405270198566912,2021-08-30,2021-09-16,lustfuldesirer,586,66
27,1432782206917767168,2021-08-31,2021-08-31,fuhduhduhh,44,0
28,1432782206917767168,2021-08-31,2021-09-01,fuhduhduhh,306,262
29,1432782206917767168,2021-08-31,2021-09-02,fuhduhduhh,325,19
30,1434725178240499712,2021-09-06,2021-09-06,ChannelNewsAsia,1478,0
31,1434725178240499712,2021-09-06,2021-09-07,ChannelNewsAsia,1752,274
32,1434725178240499712,2021-09-06,2021-09-08,ChannelNewsAsia,1775,23
33,1434725178240499712,2021-09-06,2021-09-10,ChannelNewsAsia,1816,41
34,1434725178240499712,2021-09-06,2021-09-14,ChannelNewsAsia,1821,5
35,1434885376494092288,2021-09-06,2021-09-06,tzehern_,212,0
36,1434885376494092288,2021-09-06,2021-09-07,tzehern_,421,209
37,1434885376494092288,2021-09-06,2021-09-08,tzehern_,448,27
38,1435054534456328192,2021-09-07,2021-09-07,home_migrantssg,158,0
39,1435054534456328192,2021-09-07,2021-09-08,home_migrantssg,172,14
40,1438395703185735680,2021-09-16,2021-09-16,MothershipSG,249,0
41,1438395703185735680,2021-09-16,2021-09-18,MothershipSG,471,222
42,1438395703185735680,2021-09-16,2021-09-19,MothershipSG,671,200
43,1438395703185735680,2021-09-16,2021-09-22,MothershipSG,956,285
44,1439104366879805440,2021-09-18,2021-09-18,sgbengtwink,180,0
45,1439104366879805440,2021-09-18,2021-09-19,sgbengtwink,312,132
46,1440132233918967808,2021-09-21,2021-09-21,Kokilaparvathi,271,0
47,1440562070898962432,2021-09-22,2021-09-22,asonofapeach,3907,0
48,1440562070898962432,2021-09-22,2021-09-23,asonofapeach,7811,3904
