,retweeted_tweet_id,tweet_text_,tweet_date,tweet_sentiment,retweeted_user_geo_coding,retweeted_tweet_date,retweeted_user_screenname,total_engagement,retweeted_user_screenname,color
0,1422804189063696384,delta plus ??? why is covid releasing new variants like iphones😭😭😭 https://t.co/55Ru62EEKf,2021-08-06,positive,Singapore,2021-08-04,tzehern_,1754,tzehern_,#AA0DFE
1,1424601846283313152,"Pregnant, COVID-19 positive Malaysian singer Siti Sarah Raisuddin dies https://t.co/mJrXmM72nW https://t.co/ktSKhjFJmN",2021-08-10,positive,Singapore,2021-08-09,ChannelNewsAsia,1042,ChannelNewsAsia,#3283FE
2,1424990319863472128,"It occurs to me that pro-crypto is the most powerful coalition-building / counter-identity politics trend of this epoch, and get…",2021-08-12,positive,Singapore,2021-08-10,zhusu,1646,zhusu,#85660D
3,1425286325742096384,"Singapore turned 56 on Monday. Here is an otter posing with our flag. For context, there’s a small but determined group…",2021-08-12,positive,Singapore,2021-08-11,moniza_hossain,1163,moniza_hossain,#782AB6
4,1425644918920208384,this mf CARRIED chairs & tables from home to the park so we could have a romantic corona-beer-lit mexican dinner by the…,2021-08-19,positive,Singapore,2021-08-12,jalaladdinnush,4914,jalaladdinnush,#565656
5,1426764822733987840,Aww-some moment: Singapore welcomes its first panda cub. Kai Kai and Jia Jia are parents after years of trying https:/…,2021-08-17,positive,Singapore,2021-08-15,ChannelNewsAsia,1115,ChannelNewsAsia,#1C8356
6,1427602871642517504,"Look forward to welcoming US @VP Kamala Harris to Singapore next week, and exploring new areas of cooperation between Singa…",2021-08-19,positive,Singapore,2021-08-17,VivianBala,521,VivianBala,#16FF32
7,1427917214024273920,"Since you all asked for it, let's try something challenging 😊

RT this post and screenshot to me your RT, if this hits 700…",2021-08-31,positive,Singapore,2021-08-18,raaaaachel,1052,raaaaachel,#F7E1A0
8,1429254343882985472,"Happy birthday, Singapore! 🇸🇬 This year’s belated National Day Parade was a testament to our resilience in adversity. Th…",2021-08-26,positive,Singapore,2021-08-22,leehsienloong,880,leehsienloong,#E2E2E2
9,1429284807503085568,"A warm welcome to Singapore, Vice President Kamala Harris! @vp https://t.co/v1Zp5JYoZY",2021-08-26,positive,Singapore,2021-08-22,VivianBala,3883,VivianBala,#1CBE4F
10,1429285800320012288,US Vice President Kamala Harris was greeted by Singapore Foreign Affairs Minister Vivian Balakrishnan as she kicked of…,2021-08-22,positive,Singapore,2021-08-22,ChannelNewsAsia,469,ChannelNewsAsia,#C4451C
11,1429327384533082112,Called Dato’ Sri Ismail Sabri Yaakob (@IsmailSabri60) to congratulate him on becoming the 9th PM of Malaysia. I am confi…,2021-08-23,positive,Singapore,2021-08-22,leehsienloong,1226,leehsienloong,#DEA0FD
12,1430151046886612992,Farewell VPOTUS Kamala Harris. It’s been a frenetic pace but a real honour to have hosted you in Singapore. Glad you enjoye…,2021-08-25,positive,Singapore,2021-08-24,VivianBala,6306,VivianBala,#FE00FA
13,1431460651247964160,"Amid the news about the upcoming closure of Yale-NUS, also important to note that Singapore had a rich history of student a…",2021-08-31,positive,Singapore,2021-08-28,historyogi,860,historyogi,#325A9B
14,1431961340348751872,PM Lee: Singapore has become one of the few countries in the world where people of different races and faiths live peace…,2021-08-30,positive,Singapore,2021-08-29,leehsienloong,707,leehsienloong,#FEAF16
15,1432531082356793088,Photographer captures heavenly shot of MBS & Gardens by the Bay doused in sunshine https://t.co/CM4FLrzENA https://t.co/l…,2021-09-01,positive,Singapore,2021-08-31,MothershipSG,1502,MothershipSG,#F8A19F
16,1434881491230543872,"Money isn’t everything but at this very time and age, especially in a place like Singapore, if you can’t accept that mo…",2021-09-09,positive,Singapore,2021-09-06,Jaarfuckingvis,676,Jaarfuckingvis,#90AD1C
17,1434897249826312192,We CANNOT afford to go back to circuit breaker or another heightened alert. The emotional fatigue from everything is this…,2021-09-19,positive,Singapore,2021-09-06,JoakimGomez,1535,JoakimGomez,#F6222E
18,1435107920048373760,S'pore could return to circuit breaker or heightened alert if ICU Covid-19 cases spike https://t.co/hYJ8dmUroO https://t.…,2021-09-08,positive,Singapore,2021-09-07,MothershipSG,689,MothershipSG,#1CFFCE
19,1437582428579581952,"The American left love to talk about how the Canada + Scandinavia liberal models are worth emulating

Canada has BTC and ETH spo…",2021-09-15,positive,Singapore,2021-09-14,zhusu,2486,zhusu,#2ED9FF
20,1438703201415418112,"Hello, world! I'm Georgina, a concept artist from Singapore who just graduated from FZD School of Design and would love to de…",2021-09-21,positive,Singapore,2021-09-17,enceraen,14427,enceraen,#B10DA1
21,1439523638827368448,singaporeans wont stop saying thank you. i say thank you then you say thank you then who want to say you’re welcome?,2021-09-22,positive,Singapore,2021-09-19,frznaxo,815,frznaxo,#C075A6
22,1439798016433483776,"two headlines today 

bonus numbers: 

""There are around 248 psychiatrists and 473 psychologists practicing in Singapore,…",2021-09-22,positive,Singapore,2021-09-20,sharanvkaur,303,sharanvkaur,#FC1CBF
23,1440187949073666048,"S'porean shares amazing shot of bright moon, lightning & iridescent clouds captured at night near Marina Bay https://t.co…",2021-09-22,positive,Singapore,2021-09-21,MothershipSG,2626,MothershipSG,#B00068
24,1440302153449369600,"Happy Mid-Autumn Festival !
中秋节快乐!
#FursuitEveryday #Singapore https://t.co/qR41Jzdjp8",2021-09-22,positive,Singapore,2021-09-21,FangSladeDrum,1354,FangSladeDrum,#FBE426
